"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","ACTIVE_VOD__C","CHILD_OBJECT_NAME_VOD__C","CHILD_RELATIONSHIP_VOD__C","INCLUDE_RELATED_OBJECTS_VOD__C","OBJECT_NAME_VOD__C","PARENT_OBJECT_NAME_VOD__C","PROFILE_ID_VOD__C","RELATIONSHIP_FIELD_VOD__C","RELATIONSHIP_NAME_VOD__C","TYPE_VOD__C","WHERE_CLAUSE_VOD__C","PROFILE_NAME_VOD__C","META_DATA_ONLY_VOD__C","ACCOUNT_LOOKUP_FIELD_VOD__C","DEVICE_VOD__C","EXCLUDE_FIELD_LIST_VOD__C","FIELD_LIST_VOD__C","EXTERNAL_ID_VOD__C","INCLUDE_ATTACHMENTS_VOD__C","ENABLE_ENHANCED_SYNC_VOD__C","MRK_EXTERNAL_ID__C"
"a0xU0000000DHl9IAG","005U0000000XLdfIAG","false","TSM-0000208","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_Event_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHlAIAW","005U0000000XLdfIAG","false","TSM-0000209","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Product_Group_Map_vod__c","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHlBIAW","005U0000000XLdfIAG","false","TSM-0000210","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Profile","","","","","F","","","false","","","","","","false","false",""
"a0xU0000000DHlCIAW","005U0000000XLdfIAG","false","TSM-0000211","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Folder","","","","","F","WHERE Type='Document'","","false","","","","","","false","false",""
"a0xU0000000DHlDIAW","005U0000000XLdfIAG","false","TSM-0000212","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Event","","","","","F","WHERE (ActivityDateTime >= LAST_N_DAYS:30 OR ActivityDate >= LAST_N_DAYS:30) AND @@VOD_USERS_IN_MY_TERRITORY:OwnerId@@","","false","","","","","","false","false",""
"a0xU0000000DHlEIAW","005U0000000XLdfIAG","false","TSM-0000213","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Call_Cycle_Entry_vod__c","","","","","T","WHERE Account_vod__r.Name != NULL","","false","Account_vod__c","","","","","false","false",""
"a0xU0000000DHlFIAW","005U0000000XLdfIAG","false","TSM-0000214","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","RecordType","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHlGIAW","005U0000000XLdfIAG","false","TSM-0000215","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sample_Lot_vod__c","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHlHIAW","005U0000000XLdfIAG","false","TSM-0000216","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sample_Transaction_vod__c","","","","","F","","","false","","iPad_vod","","","","false","false",""
"a0xU0000000DHlIIAW","005U0000000XLdfIAG","false","TSM-0000217","012U0000000Iqc9IAC","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","005U0000000XLdfIAG","2011-09-09T21:42:25.000Z","true","false","","","true","","","false","Sync_Tracking_vod__c","","","","","T","","","true","","iPad_vod","","","","false","false",""
